0 0     -3.326500e+02 2.620900e+02
5 844     2.661800e+02 7.530029e+00
7 844     2.476900e+02 5.380005e+00
10 844     2.167500e+02 3.039978e+00
11 844     2.314500e+02 4.650024e+00
1 845     -1.633600e+02 -7.539978e+00
2 845     -2.858000e+02 -4.969971e+00
28 845     2.775100e+02 -7.159973e+00
1 846     1.080400e+02 -3.552002e+01
2 846     1.138300e+02 -3.945001e+01
3 846     1.112500e+02 -3.625000e+01
5 846     1.024000e+02 -3.534998e+01
7 846     9.719000e+01 -3.389001e+01
11 846     9.289001e+01 -3.271997e+01
1 847     -2.881400e+02 -5.157001e+01
3 847     -3.427000e+02 -5.990002e+01
5 847     -2.509500e+02 -4.935999e+01
7 847     -2.209800e+02 -4.378003e+01
10 847     -1.766800e+02 -3.981000e+01
11 847     -1.965200e+02 -4.050000e+01
36 847     2.255800e+02 -5.707001e+01
42 847     2.745400e+02 -5.403998e+01
1 848     -1.006000e+02 -6.551001e+01
3 848     -1.172000e+02 -7.262000e+01
5 848     -8.925000e+01 -6.257001e+01
1 849     -1.006000e+02 -6.551001e+01
3 849     -1.172000e+02 -7.262000e+01
5 849     -8.925000e+01 -6.257001e+01
11 849     -7.304001e+01 -5.413000e+01
1 850     2.412800e+02 -8.078998e+01
3 850     2.680600e+02 -8.733002e+01
5 850     2.162400e+02 -7.390997e+01
7 850     1.961100e+02 -6.834998e+01
10 850     1.658700e+02 -5.885999e+01
11 850     1.796900e+02 -6.266998e+01
13 850     1.545100e+02 -5.509003e+01
16 850     1.342000e+02 -4.984998e+01
22 850     1.437000e+02 -5.177002e+01
34 850     1.120000e+02 -4.584003e+01
39 850     1.079400e+02 -4.266998e+01
1 851     -2.186000e+02 -9.997998e+01
3 851     -2.673400e+02 -1.181200e+02
36 851     2.969800e+02 -1.271300e+02
1 852     -2.162600e+02 -1.315700e+02
5 852     -1.796600e+02 -1.162900e+02
1 853     -2.283200e+02 -1.864600e+02
3 853     -3.265800e+02 -2.523800e+02
5 853     -1.750300e+02 -1.525700e+02
1 854     -3.669100e+02 -3.557100e+02
5 854     -2.444800e+02 -2.496300e+02
1 855     -2.198100e+02 4.556500e+02
5 855     -1.941100e+02 3.989200e+02
1 856     2.479800e+02 2.213900e+02
5 856     2.276500e+02 2.008400e+02
1 857     -4.570001e+01 2.006700e+02
4 857     -8.881000e+01 2.800300e+02
5 857     -4.270001e+01 1.852100e+02
6 857     -1.019200e+02 3.076100e+02
12 857     -1.753100e+02 4.805100e+02
1 858     -2.479300e+02 9.964001e+01
3 858     -3.107100e+02 1.208100e+02
7 858     -1.769400e+02 6.997998e+01
10 858     -1.350100e+02 5.134998e+01
11 858     -1.533600e+02 6.015997e+01
16 858     -9.829001e+01 3.590002e+01
22 858     -1.075700e+02 4.017999e+01
28 858     1.051800e+02 1.288500e+02
30 858     -9.357001e+01 3.166998e+01
34 858     -9.110999e+01 2.978003e+01
36 858     2.539500e+02 1.120900e+02
1 859     -3.761200e+02 9.507001e+01
5 859     -3.162800e+02 7.622998e+01
18 859     -3.254300e+02 1.176600e+02
21 859     -1.061000e+02 9.966000e+01
23 859     -1.761100e+02 1.055600e+02
28 859     2.406000e+01 8.870999e+01
29 859     8.623001e+01 8.315002e+01
36 859     1.451700e+02 7.714001e+01
42 859     2.007600e+02 7.594000e+01
1 860     -3.761200e+02 9.507001e+01
5 860     -3.162800e+02 7.622998e+01
7 860     -2.705900e+02 6.647998e+01
11 860     -2.356500e+02 5.659003e+01
18 860     -3.254300e+02 1.176600e+02
21 860     -1.061000e+02 9.966000e+01
23 860     -1.761100e+02 1.055600e+02
24 860     -4.031500e+02 1.248900e+02
28 860     2.406000e+01 8.870999e+01
29 860     8.623001e+01 8.315002e+01
36 860     1.451700e+02 7.714001e+01
42 860     2.007600e+02 7.594000e+01
1 861     -2.681700e+02 9.378000e+01
3 861     -3.349300e+02 1.126700e+02
28 861     9.214999e+01 1.131200e+02
29 861     1.647500e+02 1.058400e+02
36 861     2.326100e+02 9.903000e+01
1 862     -3.817900e+02 7.757001e+01
5 862     -3.205600e+02 6.087000e+01
7 862     -2.736800e+02 5.277002e+01
11 862     -2.380100e+02 4.454999e+01
23 862     -1.812800e+02 8.657001e+01
26 862     -4.432999e+01 7.658002e+01
28 862     1.989001e+01 7.150000e+01
42 862     1.974100e+02 6.035999e+01
1 863     3.002600e+02 4.994000e+01
2 863     3.742100e+02 7.138000e+01
11 863     2.385100e+02 3.584003e+01
13 863     2.092300e+02 2.928998e+01
1 864     -1.999100e+02 2.227002e+01
5 864     -1.796300e+02 1.628998e+01
1 865     3.350500e+02 1.409973e+00
3 865     3.710400e+02 6.469971e+00
1 866     -1.946500e+02 -6.840027e+00
5 866     -1.751200e+02 -9.429993e+00
1 867     1.927500e+02 -1.271997e+01
2 867     2.097600e+02 -1.283002e+01
4 867     2.180100e+02 -1.203998e+01
6 867     2.270800e+02 -1.246997e+01
12 867     2.779400e+02 -9.770020e+00
17 867     3.280500e+02 -8.580017e+00
1 868     -9.175000e+01 -2.251001e+01
2 868     -1.284600e+02 -2.640997e+01
3 868     -1.015900e+02 -2.494000e+01
7 868     -8.137000e+01 -2.126001e+01
13 868     -6.809000e+01 -1.945001e+01
16 868     -6.332001e+01 -1.958002e+01
22 868     -6.547000e+01 -1.997998e+01
30 868     -6.422000e+01 -2.046997e+01
1 869     1.848100e+02 -4.160999e+01
2 869     2.331600e+02 -5.256000e+01
1 870     -1.978000e+02 -4.725000e+01
5 870     -1.770600e+02 -4.587000e+01
1 871     -3.222500e+02 -4.758002e+01
3 871     -3.853000e+02 -5.684003e+01
7 871     -2.459600e+02 -4.023999e+01
21 871     -2.057999e+01 -4.775000e+01
28 871     8.847000e+01 -4.789001e+01
29 871     1.425400e+02 -4.803998e+01
36 871     1.941100e+02 -4.983002e+01
42 871     2.424400e+02 -4.690002e+01
1 872     -1.860600e+02 -5.357001e+01
3 872     -2.101000e+02 -5.953998e+01
1 873     -3.160500e+02 -6.291998e+01
5 873     -2.751600e+02 -5.945001e+01
7 873     -2.423200e+02 -5.270001e+01
10 873     -1.933200e+02 -4.729999e+01
13 873     -1.748800e+02 -4.337000e+01
22 873     -1.599400e+02 -4.123999e+01
28 873     9.513000e+01 -6.475000e+01
29 873     1.488400e+02 -6.467999e+01
36 873     2.004200e+02 -6.547998e+01
42 873     2.476900e+02 -6.221997e+01
1 874     1.961600e+02 -7.733002e+01
2 874     2.714200e+02 -1.093500e+02
1 875     -8.284000e+01 -7.834998e+01
2 875     -1.461000e+02 -1.071300e+02
3 875     -9.838000e+01 -8.665997e+01
11 875     -5.773001e+01 -6.258002e+01
1 876     3.710400e+02 -9.813000e+01
5 876     3.238000e+02 -8.734998e+01
1 877     3.524200e+02 -1.049600e+02
5 877     3.087600e+02 -9.366998e+01
7 877     2.746400e+02 -8.551001e+01
1 878     3.588400e+02 -1.058300e+02
5 878     3.140800e+02 -9.428003e+01
7 878     2.787700e+02 -8.478003e+01
1 879     -2.506800e+02 -1.197800e+02
3 879     -3.138800e+02 -1.460700e+02
5 879     -2.107700e+02 -1.073100e+02
1 880     1.667600e+02 -1.362800e+02
5 880     1.439300e+02 -1.178400e+02
7 880     1.270600e+02 -1.033700e+02
11 880     1.146000e+02 -9.195001e+01
1 881     -3.298700e+02 -1.688700e+02
5 881     -2.591600e+02 -1.412200e+02
7 881     -2.128100e+02 -1.186600e+02
11 881     -1.769900e+02 -1.035600e+02
36 881     1.562600e+02 -1.677000e+02
42 881     2.366500e+02 -1.581100e+02
1 882     -2.146900e+02 -1.835800e+02
3 882     -3.052900e+02 -2.460800e+02
1 883     -1.177800e+02 4.652300e+02
5 883     -1.037400e+02 4.082900e+02
1 884     2.064700e+02 2.702200e+02
3 884     2.181600e+02 2.997700e+02
5 884     1.890300e+02 2.445400e+02
7 884     1.772500e+02 2.245100e+02
10 884     1.543700e+02 1.913800e+02
11 884     1.654900e+02 2.076500e+02
13 884     1.465500e+02 1.787200e+02
16 884     1.292700e+02 1.557300e+02
30 884     1.195500e+02 1.462200e+02
34 884     1.102200e+02 1.369400e+02
39 884     1.079000e+02 1.263600e+02
43 884     1.057900e+02 1.300600e+02
45 884     1.112500e+02 1.200100e+02
1 885     1.895100e+02 2.654000e+02
5 885     1.745300e+02 2.401500e+02
1 886     -1.031000e+02 2.171100e+02
3 886     -1.172800e+02 2.339600e+02
5 886     -9.620999e+01 1.992500e+02
7 886     -8.813000e+01 1.876600e+02
10 886     -7.679001e+01 1.637700e+02
11 886     -8.206000e+01 1.757600e+02
13 886     -7.044000e+01 1.549700e+02
1 887     -1.004400e+02 2.073200e+02
3 887     -1.145800e+02 2.230100e+02
5 887     -9.395999e+01 1.909500e+02
7 887     -8.557001e+01 1.795100e+02
10 887     -7.407999e+01 1.567300e+02
11 887     -7.928000e+01 1.681200e+02
13 887     -6.873001e+01 1.483500e+02
22 887     -6.523001e+01 1.399200e+02
1 888     -1.004400e+02 2.073200e+02
3 888     -1.145800e+02 2.230100e+02
5 888     -9.395999e+01 1.909500e+02
10 888     -7.407999e+01 1.567300e+02
11 888     -7.928000e+01 1.681200e+02
13 888     -6.873001e+01 1.483500e+02
16 888     -6.276001e+01 1.321300e+02
22 888     -6.523001e+01 1.399200e+02
1 889     -7.544000e+01 2.040300e+02
3 889     -8.745999e+01 2.195800e+02
5 889     -7.039999e+01 1.880900e+02
7 889     -6.448001e+01 1.767900e+02
1 890     -8.714999e+01 1.805000e+02
3 890     -9.982999e+01 1.942500e+02
5 890     -8.141000e+01 1.665700e+02
7 890     -7.473001e+01 1.561500e+02
10 890     -6.500000e+01 1.363500e+02
11 890     -6.932001e+01 1.460200e+02
1 891     -2.384000e+02 1.370800e+02
3 891     -2.994900e+02 1.663400e+02
7 891     -1.704400e+02 9.804999e+01
10 891     -1.299600e+02 7.315002e+01
11 891     -1.478200e+02 8.470999e+01
34 891     -8.778000e+01 4.413000e+01
43 891     -8.182999e+01 4.020001e+01
1 892     -2.686000e+02 8.642001e+01
3 892     -3.355900e+02 1.044600e+02
42 892     2.968600e+02 8.929001e+01
1 893     -2.686000e+02 8.642001e+01
3 893     -3.355900e+02 1.044600e+02
36 893     2.332100e+02 9.182001e+01
42 893     2.968600e+02 8.929001e+01
1 894     -1.633800e+02 4.516998e+01
3 894     -1.925400e+02 4.921002e+01
1 895     2.802700e+02 3.744000e+01
3 895     2.986900e+02 4.269000e+01
5 895     2.590800e+02 3.287000e+01
7 895     2.412700e+02 2.978998e+01
10 895     2.116700e+02 2.472998e+01
1 896     2.802700e+02 3.744000e+01
3 896     2.986900e+02 4.269000e+01
5 896     2.590800e+02 3.287000e+01
7 896     2.412700e+02 2.978998e+01
10 896     2.116700e+02 2.472998e+01
13 896     1.997700e+02 2.322998e+01
22 896     1.881900e+02 2.090002e+01
30 896     1.655000e+02 1.715997e+01
1 897     -2.777800e+02 2.362000e+01
5 897     -2.409600e+02 1.670001e+01
7 897     -2.120600e+02 1.490997e+01
11 897     -1.880000e+02 1.196002e+01
1 898     -1.395200e+02 2.331000e+01
3 898     -1.560700e+02 2.408002e+01
4 898     -2.293400e+02 3.859003e+01
32 898     -7.982001e+01 7.023999e+01
40 898     -2.366600e+02 8.384003e+01
41 898     -1.799300e+02 8.032001e+01
1 899     -9.579001e+01 1.234998e+01
3 899     -1.062200e+02 1.258002e+01
5 899     -9.017001e+01 9.359985e+00
10 899     -7.509000e+01 6.320007e+00
11 899     -7.914999e+01 8.330017e+00
1 900     -2.182900e+02 -2.679993e+00
3 900     -2.524500e+02 -3.450012e+00
21 900     1.138400e+02 -4.099731e-01
1 901     -2.019100e+02 -9.969971e+00
5 901     -1.810200e+02 -1.257001e+01
1 902     -1.694800e+02 -1.384003e+01
5 902     -1.530500e+02 -1.628003e+01
1 903     -1.280800e+02 -1.422998e+01
2 903     -1.830400e+02 -1.712000e+01
3 903     -1.430900e+02 -1.620001e+01
4 903     -2.065300e+02 -1.715002e+01
6 903     -2.303600e+02 -2.004999e+01
8 903     -2.620400e+02 -1.898999e+01
18 903     2.229000e+02 -2.125000e+01
19 903     2.622300e+02 -2.165002e+01
21 903     3.368800e+02 -2.253003e+01
23 903     3.012100e+02 -2.127002e+01
24 903     1.821200e+02 -1.879999e+01
25 903     9.914001e+01 -1.871997e+01
27 903     1.419300e+02 -1.894000e+01
31 903     5.247000e+01 -1.739001e+01
32 903     -3.907001e+01 -1.551001e+01
37 903     7.929993e+00 -1.521002e+01
40 903     -1.982200e+02 -1.278998e+01
41 903     -1.432300e+02 -1.400000e+01
44 903     -8.725000e+01 -1.446002e+01
1 904     -2.739001e+01 -6.551001e+01
3 904     -3.595001e+01 -7.196002e+01
4 904     -7.863000e+01 -9.706000e+01
5 904     -2.348001e+01 -6.253003e+01
6 904     -9.913000e+01 -1.110800e+02
10 904     -1.389999e+01 -5.160999e+01
11 904     -1.648001e+01 -5.406000e+01
22 904     -1.032999e+01 -4.640997e+01
1 905     -3.147900e+02 -6.946997e+01
3 905     -3.743500e+02 -8.367999e+01
5 905     -2.738000e+02 -6.487000e+01
7 905     -2.412200e+02 -5.696997e+01
28 905     9.629001e+01 -7.154999e+01
29 905     1.499800e+02 -7.115997e+01
36 905     2.015000e+02 -7.209003e+01
42 905     2.489200e+02 -6.839001e+01
1 906     -3.147900e+02 -6.946997e+01
5 906     -2.738000e+02 -6.487000e+01
7 906     -2.412200e+02 -5.696997e+01
28 906     9.629001e+01 -7.154999e+01
29 906     1.499800e+02 -7.115997e+01
42 906     2.489200e+02 -6.839001e+01
1 907     -1.906100e+02 -9.379999e+01
5 907     -1.627700e+02 -8.584998e+01
7 907     -1.408000e+02 -7.669000e+01
10 907     -1.086700e+02 -6.654999e+01
11 907     -1.223400e+02 -7.028998e+01
16 907     -8.098001e+01 -5.534998e+01
22 907     -8.764999e+01 -5.770001e+01
30 907     -7.759000e+01 -5.316998e+01
34 907     -7.698999e+01 -5.072998e+01
1 908     -1.390400e+02 4.811700e+02
5 908     -1.226100e+02 4.218800e+02
7 908     -1.062400e+02 3.800700e+02
10 908     -8.694000e+01 3.092900e+02
11 908     -9.560001e+01 3.423500e+02
1 909     -1.390400e+02 4.811700e+02
5 909     -1.226100e+02 4.218800e+02
7 909     -1.062400e+02 3.800700e+02
10 909     -8.694000e+01 3.092900e+02
11 909     -9.560001e+01 3.423500e+02
43 909     -5.809000e+01 2.037800e+02
1 910     -1.882700e+02 4.412200e+02
5 910     -1.645300e+02 3.877700e+02
1 911     -1.198800e+02 3.985900e+02
5 911     -1.061100e+02 3.524600e+02
1 912     2.127000e+02 2.771500e+02
3 912     2.250800e+02 3.071600e+02
5 912     1.941500e+02 2.511400e+02
11 912     1.696600e+02 2.130200e+02
1 913     1.978300e+02 2.688700e+02
3 913     2.086400e+02 2.981500e+02
5 913     1.810600e+02 2.436900e+02
11 913     1.596000e+02 2.063700e+02
13 913     1.418000e+02 1.776500e+02
16 913     1.249700e+02 1.548900e+02
22 913     1.328700e+02 1.655300e+02
30 913     1.154700e+02 1.453200e+02
1 914     -9.328000e+01 2.121600e+02
3 914     -1.067500e+02 2.279400e+02
5 914     -8.742001e+01 1.955800e+02
1 915     1.997900e+02 2.034300e+02
3 915     2.111700e+02 2.237100e+02
1 916     -2.444600e+02 1.588400e+02
3 916     -3.075000e+02 1.923800e+02
5 916     -2.053500e+02 1.310300e+02
7 916     -1.746600e+02 1.139200e+02
10 916     -1.335200e+02 8.569000e+01
11 916     -1.515600e+02 9.887000e+01
13 916     -1.177300e+02 7.725000e+01
16 916     -9.722000e+01 6.196002e+01
22 916     -1.062700e+02 6.890997e+01
26 916     2.695001e+01 2.240400e+02
28 916     1.084300e+02 2.095800e+02
29 916     1.854600e+02 1.964100e+02
36 916     2.571000e+02 1.832500e+02
39 916     -7.285999e+01 4.602002e+01
42 916     3.246100e+02 1.765700e+02
43 916     -8.392001e+01 4.834998e+01
45 916     -6.116000e+01 4.206000e+01
1 917     -2.444600e+02 1.588400e+02
3 917     -3.075000e+02 1.923800e+02
5 917     -2.053500e+02 1.310300e+02
7 917     -1.746600e+02 1.139200e+02
10 917     -1.335200e+02 8.569000e+01
11 917     -1.515600e+02 9.887000e+01
13 917     -1.177300e+02 7.725000e+01
16 917     -9.722000e+01 6.196002e+01
22 917     -1.062700e+02 6.890997e+01
26 917     2.695001e+01 2.240400e+02
28 917     1.084300e+02 2.095800e+02
29 917     1.854600e+02 1.964100e+02
30 917     -9.259000e+01 5.629999e+01
34 917     -9.004001e+01 5.250000e+01
36 917     2.571000e+02 1.832500e+02
39 917     -7.285999e+01 4.602002e+01
42 917     3.246100e+02 1.765700e+02
43 917     -8.392001e+01 4.834998e+01
45 917     -6.116000e+01 4.206000e+01
1 918     -3.680400e+02 1.339400e+02
5 918     -3.104700e+02 1.092200e+02
7 918     -2.662800e+02 9.519000e+01
10 918     -2.059400e+02 6.996002e+01
11 918     -2.334500e+02 8.147000e+01
13 918     -1.834500e+02 6.296997e+01
16 918     -1.514300e+02 5.009998e+01
22 918     -1.654300e+02 5.614001e+01
30 918     -1.434100e+02 4.504999e+01
1 919     -2.338100e+02 1.296400e+02
3 919     -2.924800e+02 1.571000e+02
5 919     -1.964300e+02 1.061900e+02
7 919     -1.668100e+02 9.192001e+01
11 919     -1.448300e+02 7.963000e+01
16 919     -9.292001e+01 4.884003e+01
22 919     -1.013100e+02 5.457001e+01
30 919     -8.889999e+01 4.428003e+01
34 919     -8.622000e+01 4.092999e+01
39 919     -6.967001e+01 3.570001e+01
43 919     -8.078000e+01 3.742999e+01
1 920     -2.579100e+02 1.287800e+02
3 920     -3.212900e+02 1.567300e+02
5 920     -2.164300e+02 1.057700e+02
7 920     -1.843300e+02 9.195001e+01
11 920     -1.616900e+02 7.876001e+01
39 920     -7.829999e+01 3.556000e+01
43 920     -8.942999e+01 3.731000e+01
1 921     -2.704800e+02 1.277200e+02
5 921     -2.278400e+02 1.047000e+02
10 921     -1.497800e+02 6.776001e+01
13 921     -1.326400e+02 6.098999e+01
16 921     -1.099200e+02 4.841998e+01
22 921     -1.197000e+02 5.381000e+01
1 922     3.216900e+02 4.671997e+01
5 922     2.932200e+02 4.203998e+01
7 922     2.707000e+02 3.695001e+01
10 922     2.334300e+02 3.056000e+01
11 922     2.509700e+02 3.397998e+01
1 923     -1.477800e+02 3.970001e+01
3 923     -1.751300e+02 4.720001e+01
1 924     -1.938800e+02 1.712000e+01
2 924     -3.088000e+02 2.832001e+01
36 924     3.511300e+02 1.969000e+01
1 925     2.658900e+02 9.020020e+00
2 925     3.175500e+02 1.444000e+01
3 925     2.818300e+02 1.267999e+01
4 925     3.429700e+02 1.665002e+01
5 925     2.469100e+02 7.289978e+00
1 926     2.658900e+02 9.020020e+00
2 926     3.175500e+02 1.444000e+01
3 926     2.818300e+02 1.267999e+01
4 926     3.429700e+02 1.665002e+01
5 926     2.469100e+02 7.289978e+00
7 926     2.309100e+02 5.599976e+00
11 926     2.168800e+02 4.969971e+00
1 927     2.592100e+02 2.690002e+00
2 927     3.062800e+02 7.059998e+00
3 927     2.740300e+02 5.559998e+00
5 927     2.413100e+02 1.099976e+00
7 927     2.261500e+02 -5.999756e-02
10 927     2.003400e+02 -7.399902e-01
11 927     2.127500e+02 -2.899780e-01
13 927     1.900900e+02 -1.080017e+00
16 927     1.699700e+02 -2.570007e+00
30 927     1.586800e+02 -3.080017e+00
34 927     1.469000e+02 -4.090027e+00
1 928     -3.281200e+02 -3.354999e+01
5 928     -2.840600e+02 -3.321997e+01
42 928     2.377400e+02 -3.338000e+01
1 929     -3.281200e+02 -3.354999e+01
5 929     -2.840600e+02 -3.321997e+01
7 929     -2.483800e+02 -2.769000e+01
42 929     2.377400e+02 -3.338000e+01
1 930     -2.945100e+02 -4.221997e+01
3 930     -3.506000e+02 -5.122998e+01
5 930     -2.569500e+02 -4.121002e+01
7 930     -2.264500e+02 -3.682001e+01
11 930     -2.015400e+02 -3.525000e+01
36 930     2.195000e+02 -4.759998e+01
42 930     2.681100e+02 -4.406000e+01
1 931     -2.945100e+02 -4.221997e+01
3 931     -3.506000e+02 -5.122998e+01
5 931     -2.569500e+02 -4.121002e+01
7 931     -2.264500e+02 -3.682001e+01
36 931     2.195000e+02 -4.759998e+01
1 932     -1.140100e+02 -4.873999e+01
3 932     -1.270800e+02 -5.266998e+01
5 932     -1.058800e+02 -4.822998e+01
7 932     -9.859000e+01 -4.471997e+01
1 933     -1.140100e+02 -4.873999e+01
2 933     -1.631600e+02 -5.790997e+01
3 933     -1.270800e+02 -5.266998e+01
4 933     -1.832200e+02 -6.201001e+01
1 934     -2.218100e+02 -4.965997e+01
3 934     -2.563100e+02 -5.683002e+01
28 934     2.102700e+02 -6.238000e+01
29 934     2.605900e+02 -6.122998e+01
1 935     -2.218100e+02 -4.965997e+01
3 935     -2.563100e+02 -5.683002e+01
28 935     2.102700e+02 -6.238000e+01
29 935     2.605900e+02 -6.122998e+01
1 936     -8.794000e+01 -5.672998e+01
3 936     -1.009000e+02 -6.276001e+01
5 936     -8.045999e+01 -5.383002e+01
10 936     -6.119000e+01 -4.420001e+01
11 936     -6.610999e+01 -4.565997e+01
22 936     -5.260001e+01 -3.959998e+01
1 937     2.228500e+02 -6.285999e+01
3 937     2.461300e+02 -6.785999e+01
5 937     1.994700e+02 -5.792999e+01
7 937     1.811000e+02 -5.354999e+01
10 937     1.528900e+02 -4.631000e+01
11 937     1.658000e+02 -4.920001e+01
13 937     1.425900e+02 -4.346002e+01
16 937     1.239200e+02 -3.970001e+01
30 937     1.134500e+02 -3.840997e+01
34 937     1.029400e+02 -3.716998e+01
39 937     9.995001e+01 -3.440997e+01
43 937     9.798999e+01 -3.714001e+01
45 937     1.027100e+02 -3.460999e+01
1 938     1.424900e+02 -6.533002e+01
2 938     1.637000e+02 -8.042999e+01
3 938     1.496900e+02 -6.907001e+01
5 938     1.329900e+02 -6.245001e+01
7 938     1.248500e+02 -5.889001e+01
10 938     1.109200e+02 -5.304999e+01
11 938     1.177500e+02 -5.533002e+01
13 938     1.062900e+02 -4.996002e+01
1 939     -3.149300e+02 -8.094000e+01
3 939     -3.752000e+02 -9.466998e+01
5 939     -2.737500e+02 -7.529999e+01
7 939     -2.411900e+02 -6.784998e+01
13 939     -1.739600e+02 -5.506000e+01
36 939     2.013200e+02 -8.453003e+01
42 939     2.489800e+02 -8.050000e+01
1 940     2.654800e+02 -8.550000e+01
5 940     2.405000e+02 -7.903003e+01
7 940     2.199300e+02 -7.371002e+01
10 940     1.883900e+02 -6.437000e+01
11 940     2.029200e+02 -6.809998e+01
13 940     1.752800e+02 -6.032001e+01
22 940     1.636900e+02 -5.752002e+01
30 940     1.411900e+02 -5.278998e+01
34 940     1.289400e+02 -5.081000e+01
39 940     1.238700e+02 -4.721997e+01
43 940     1.228800e+02 -5.007001e+01
1 941     2.654800e+02 -8.550000e+01
3 941     2.916000e+02 -9.167999e+01
5 941     2.405000e+02 -7.903003e+01
13 941     1.752800e+02 -6.032001e+01
16 941     1.527400e+02 -5.487000e+01
30 941     1.411900e+02 -5.278998e+01
34 941     1.289400e+02 -5.081000e+01
39 941     1.238700e+02 -4.721997e+01
43 941     1.228800e+02 -5.007001e+01
1 942     -2.484200e+02 -1.178000e+02
3 942     -3.100800e+02 -1.424200e+02
5 942     -2.084900e+02 -1.047300e+02
7 942     -1.783300e+02 -9.158002e+01
10 942     -1.357100e+02 -7.685999e+01
11 942     -1.544200e+02 -8.265002e+01
13 942     -1.199300e+02 -6.990002e+01
22 942     -1.083900e+02 -6.541998e+01
28 942     1.049400e+02 -1.477700e+02
29 942     1.818700e+02 -1.433700e+02
36 942     2.540900e+02 -1.393100e+02
42 942     3.189200e+02 -1.318500e+02
1 943     2.015100e+02 -2.061500e+02
3 943     2.701000e+02 -2.836100e+02
1 944     -1.104600e+02 4.210800e+02
5 944     -9.851001e+01 3.730500e+02
1 945     1.898000e+02 2.441200e+02
3 945     1.990000e+02 2.689500e+02
1 946     1.964400e+02 2.324200e+02
3 946     2.064100e+02 2.559200e+02
1 947     -3.764600e+02 1.299200e+02
5 947     -3.172200e+02 1.059300e+02
7 947     -2.718600e+02 9.237000e+01
10 947     -2.097100e+02 6.806000e+01
11 947     -2.371000e+02 7.922000e+01
13 947     -1.862700e+02 6.115997e+01
16 947     -1.551400e+02 4.839001e+01
21 947     -1.001300e+02 1.338100e+02
22 947     -1.689000e+02 5.434998e+01
24 947     -3.904800e+02 1.647000e+02
26 947     -3.539999e+01 1.272500e+02
28 947     2.710999e+01 1.202300e+02
29 947     8.888000e+01 1.134100e+02
36 947     1.468700e+02 1.068200e+02
42 947     2.016400e+02 1.048000e+02
1 948     3.226200e+02 4.421002e+01
5 948     2.946600e+02 3.817999e+01
7 948     2.719000e+02 3.247998e+01
11 948     2.521200e+02 2.870001e+01
1 949     -3.449000e+02 -1.894000e+01
5 949     -2.961600e+02 -2.095001e+01
1 950     3.015300e+02 -2.350000e+01
5 950     2.747000e+02 -2.321997e+01
7 950     2.507800e+02 -2.335999e+01
1 951     -8.998001e+01 -6.557001e+01
3 951     -1.046100e+02 -7.228998e+01
5 951     -8.035999e+01 -6.270001e+01
7 951     -7.151999e+01 -5.727002e+01
10 951     -5.867001e+01 -5.183002e+01
11 951     -6.450000e+01 -5.378998e+01
13 951     -5.334000e+01 -4.832001e+01
16 951     -4.644000e+01 -4.469000e+01
22 951     -4.951001e+01 -4.628003e+01
30 951     -4.606000e+01 -4.319000e+01
34 951     -4.860999e+01 -4.158002e+01
43 951     -4.542999e+01 -4.025000e+01
1 952     -8.998001e+01 -6.557001e+01
3 952     -1.046100e+02 -7.228998e+01
5 952     -8.035999e+01 -6.270001e+01
7 952     -7.151999e+01 -5.727002e+01
10 952     -5.867001e+01 -5.183002e+01
11 952     -6.450000e+01 -5.378998e+01
13 952     -5.334000e+01 -4.832001e+01
16 952     -4.644000e+01 -4.469000e+01
22 952     -4.951001e+01 -4.628003e+01
30 952     -4.606000e+01 -4.319000e+01
34 952     -4.860999e+01 -4.158002e+01
43 952     -4.542999e+01 -4.025000e+01
1 953     -3.795200e+02 6.634998e+01
5 953     -3.192800e+02 5.185999e+01
7 953     -2.732500e+02 4.513000e+01
10 953     -2.099500e+02 3.045001e+01
11 953     -2.375600e+02 3.801001e+01
21 953     -1.097100e+02 7.040002e+01
26 953     -4.329001e+01 6.612000e+01
28 953     2.029999e+01 6.165002e+01
29 953     8.314999e+01 5.662000e+01
36 953     1.424700e+02 5.228998e+01
42 953     1.977100e+02 5.203998e+01
1 954     3.400500e+02 4.448999e+01
3 954     3.693900e+02 5.294000e+01
5 954     3.100600e+02 3.921002e+01
1 955     -9.822000e+01 -1.341998e+01
3 955     -1.119300e+02 -1.594000e+01
5 955     -9.262000e+01 -1.516998e+01
7 955     -8.579999e+01 -1.319000e+01
11 955     -8.079001e+01 -1.310999e+01
1 956     -1.162500e+02 -7.617999e+01
3 956     -1.364000e+02 -8.453003e+01
5 956     -1.030600e+02 -7.221002e+01
7 956     -9.207001e+01 -6.606000e+01
10 956     -7.476001e+01 -5.970001e+01
11 956     -8.256000e+01 -6.207001e+01
13 956     -6.767001e+01 -5.553003e+01
16 956     -5.863000e+01 -5.140997e+01
22 956     -6.276999e+01 -5.337000e+01
30 956     -5.791000e+01 -4.951001e+01
34 956     -5.907999e+01 -4.727002e+01
39 956     -4.756000e+01 -4.385999e+01
43 956     -5.619000e+01 -4.617999e+01
45 956     -3.839001e+01 -4.327002e+01
1 957     -1.990500e+02 -8.621002e+01
3 957     -2.430800e+02 -1.011900e+02
1 958     -1.292100e+02 4.684400e+02
5 958     -1.133800e+02 4.119400e+02
1 959     -2.664300e+02 1.228800e+02
5 959     -2.243900e+02 9.995999e+01
11 959     -1.666500e+02 7.476001e+01
